batch_size,uniform_time_s,uniform_tps,different_time_s,different_tps
1,3.900240332004614,32.8184904272839,3.2045818579936167,39.94280866338693
2,4.8922428249934455,52.32773784084255,4.333240124004078,59.078193839728016
4,6.54642926499946,78.21057545636556,7.602456365988473,67.34665420646971
8,11.896910477007623,86.07276670518934,14.975931252993178,68.37638225638472
16,23.093769370010705,88.68192832390145,28.698917207992054,71.36157734305301
32,45.85903289700218,89.31719099265517,57.53890588801005,71.18661602589708
64,89.87005846299871,91.15382965254005,109.69188126899826,74.68191725065499
