batch,log2_batch,prefill_ms,decode_total_ms,total_ms,throughput_toks_per_s
1,0,8.221375783284506,1041.2640380859375,1049.485413869222,243.92906906269835
2,1,12.00597349802653,1069.59423828125,1081.6002117792766,473.3726883778425
4,2,21.53831418355306,1078.881103515625,1100.419417699178,930.5542809677421
8,3,39.67198944091797,1088.7034912109375,1128.3754806518555,1814.9986729744278
16,4,77.30014038085938,1092.40380859375,1169.7039489746094,3501.7407640545725
32,5,151.33452860514322,1134.6580810546875,1285.9926096598308,6370.176576805475
64,6,298.28826904296875,1199.5430908203125,1497.8313598632812,10938.481086078673
128,7,588.4930419921875,1516.211669921875,2104.7047119140625,15568.929842989752
256,8,1187.8478190104167,3252.552001953125,4440.399820963542,14759.031313035919
