decode_len,log2_decode_len,prefill_ms,decode_total_ms
32,5,275.843505859375,432.7119140625
64,6,281.23046875,561.2167358398438
128,7,285.31092325846356,1133.3231201171875
256,8,287.47735595703125,2266.258544921875
512,9,293.66400146484375,4557.56884765625
1024,10,297.188720703125,9533.4423828125
