-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(512)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      24.126ms         0.30%      24.126ms      24.126ms             1  
                  _C_cache_ops::reshape_and_cache_flash         0.03%       2.136ms         0.06%       3.680ms      28.749us      21.935ms         0.27%      21.935ms     171.367us           128  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.05%       3.035ms         0.06%       3.953ms      35.299us      17.515ms         0.22%      17.515ms     156.386us           112  
                                 cudaDeviceGetAttribute         0.01%     869.099us         0.01%     869.099us       0.478us      15.082ms         0.19%      15.082ms       8.296us          1818  
                                     triton_poi_fused_3         0.03%       2.138ms         0.04%       2.875ms      27.379us      14.195ms         0.18%      14.195ms     135.193us           105  
                 execute_context_0(0)_generation_86(86)         0.00%       0.000us         0.00%       0.000us       0.000us      12.582ms         0.16%      12.582ms      12.582ms             1  
                                  cudaStreamIsCapturing         0.04%       2.564ms         0.04%       2.564ms       0.819us      12.179ms         0.15%      12.179ms       3.887us          3133  
                 execute_context_0(0)_generation_71(71)         0.00%       0.000us         0.00%       0.000us       0.000us      11.426ms         0.14%      11.426ms      11.426ms             1  
                 execute_context_0(0)_generation_55(55)         0.00%       0.000us         0.00%       0.000us       0.000us      10.452ms         0.13%      10.452ms      10.452ms             1  
turing_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      10.435ms         0.13%      10.435ms     144.933us            72  
## Call CompiledFxGraph fr6vvpoghx6svl5fkdmoya2bsyq2...         0.00%       0.000us         0.00%       0.000us       0.000us       9.420ms         0.12%       9.420ms       1.346ms             7  
                               cudaEventRecordWithFlags         0.04%       2.833ms         0.04%       2.836ms       2.711us       9.089ms         0.11%       9.089ms       8.689us          1046  
                 execute_context_0(0)_generation_39(39)         0.00%       0.000us         0.00%       0.000us       0.000us       8.509ms         0.11%       8.509ms       8.509ms             1  
                 execute_context_0(0)_generation_23(23)         0.00%       0.000us         0.00%       0.000us       0.000us       7.807ms         0.10%       7.807ms       7.807ms             1  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us       7.732ms         0.10%       7.732ms       0.953us          8112  
turing_fp16_s1688gemm_fp16_256x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       7.716ms         0.10%       7.716ms     160.748us            48  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us       6.702ms         0.08%       6.702ms       6.702ms             1  
                                   cudaEventSynchronize        55.62%        3.701s        67.37%        4.482s       4.310ms       6.614ms         0.08%        1.659s       1.595ms          1040  
                                        cudaEventRecord         0.03%       2.250ms         0.03%       2.250ms       2.163us       5.204ms         0.06%       5.204ms       5.004us          1040  
                                        cudaMemcpyAsync         0.94%      62.462ms         0.94%      62.578ms      10.799us       4.915ms         0.06%       6.724ms       1.160us          5795  
turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32...         0.00%       0.000us         0.00%       0.000us       0.000us       3.919ms         0.05%       3.919ms     122.460us            32  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       3.573ms         0.04%       3.573ms      55.834us            64  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%       0.000us         0.00%       0.000us       0.000us       3.085ms         0.04%       3.085ms       5.944us           519  
