batch_size,uniform_time_s,uniform_tps,different_time_s,different_tps
1,3.7225815050042,34.384740757974505,3.5319094369915547,36.24101984591913
2,4.4639778309938265,57.34795505088924,4.228026621000026,60.5483415663665
4,6.776581769998302,75.55431593355189,8.016109750999021,63.87138099452682
8,12.031905755997286,85.10704960347522,15.52692379799555,65.94995978097049
16,22.613640537994797,90.5648074028155,30.19533967098687,67.82503599281635
32,48.41460550800548,84.60256893599424,57.8861822780018,70.75954638584938
