decode_len,log2_decode_len,norm_qkv,rope,kv_append,attention,o_proj,ffn
32,5,1.1705600135028362,0.4341759979724884,0.4820159990340471,1.6710399985313416,0.9421440027654171,4.878848016262054
64,6,1.1642560064792633,0.38998399674892426,0.48444799706339836,1.6957440078258514,0.9206400066614151,4.83200004696846
128,7,1.5864640101790428,0.4449599990621209,0.4930240008980036,1.8394560143351555,0.8326719962060452,4.9030720591545105
256,8,1.171935997903347,0.4177919998764992,0.49302399903535843,2.071488007903099,0.6222400031983852,4.873024076223373
512,9,1.2697919979691505,0.43990400061011314,0.5135359950363636,2.559232011437416,0.3661120031028986,4.822816014289856
1024,10,1.209984004497528,0.2953600035980344,0.482464000582695,3.491968035697937,0.38102400302886963,3.773983985185623
