Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.0%	571.873 μs	504	1.134 μs	1.109 μs	969 ns	8.928 μs	355 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[100, 3072]]}
0.0%	571.782 μs	1	571.782 μs	571.782 μs	571.782 μs	571.782 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[16]], 'hidden_states': [[16, 2048]]}
0.0%	571.555 μs	1	571.555 μs	571.555 μs	571.555 μs	571.555 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[1873]], 'hidden_states': [[1873, 2048]]}
0.0%	570.863 μs	504	1.132 μs	1.110 μs	966 ns	6.793 μs	264 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[100, 3072]]}
0.0%	570.816 μs	1	570.816 μs	570.816 μs	570.816 μs	570.816 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	570.730 μs	1	570.730 μs	570.730 μs	570.730 μs	570.730 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'positions': [[1873]], 'hidden_states': [[1873, 2048]]}
0.0%	569.811 μs	504	1.130 μs	1.107 μs	986 ns	7.240 μs	284 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[100, 16384]]}
0.0%	569.614 μs	1	569.614 μs	569.614 μs	569.614 μs	569.614 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	569.550 μs	1	569.550 μs	569.550 μs	569.550 μs	569.550 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[1873]], 'hidden_states': [[1873, 2048]]}
0.0%	569.087 μs	504	1.129 μs	1.117 μs	939 ns	1.543 μs	85 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[100, 3072]]}
0.0%	569.056 μs	504	1.129 μs	1.091 μs	929 ns	9.466 μs	386 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[100, 2048], [100, 2048]]}
0.0%	568.310 μs	1	568.310 μs	568.310 μs	568.310 μs	568.310 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	568.104 μs	1	568.104 μs	568.104 μs	568.104 μs	568.104 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn', 'positions': [[1873]], 'hidden_states': [[1873, 2048]]}
0.0%	567.636 μs	1	567.636 μs	567.636 μs	567.636 μs	567.636 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[1873]], 'hidden_states': [[1873, 2048]]}
0.0%	567.279 μs	1	567.279 μs	567.279 μs	567.279 μs	567.279 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	567.225 μs	1	567.225 μs	567.225 μs	567.225 μs	567.225 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[16]], 'hidden_states': [[16, 2048]]}
0.0%	566.411 μs	1	566.411 μs	566.411 μs	566.411 μs	566.411 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	566.248 μs	504	1.123 μs	1.112 μs	953 ns	1.603 μs	84 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[100, 3072]]}
0.0%	565.219 μs	1	565.219 μs	565.219 μs	565.219 μs	565.219 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	563.804 μs	504	1.118 μs	1.108 μs	963 ns	1.552 μs	76 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[100, 16384]]}
0.0%	562.640 μs	1	562.640 μs	562.640 μs	562.640 μs	562.640 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	561.385 μs	1	561.385 μs	561.385 μs	561.385 μs	561.385 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	560.378 μs	1	560.378 μs	560.378 μs	560.378 μs	560.378 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[1873]], 'hidden_states': [[1873, 2048]]}
0.0%	559.570 μs	1	559.570 μs	559.570 μs	559.570 μs	559.570 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	558.834 μs	1	558.834 μs	558.834 μs	558.834 μs	558.834 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	557.615 μs	16	34.850 μs	33.552 μs	31.445 μs	40.664 μs	3.080 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[68], [68, 2048], [68, 512]]}
0.0%	557.510 μs	1	557.510 μs	557.510 μs	557.510 μs	557.510 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	557.412 μs	1	557.412 μs	557.412 μs	557.412 μs	557.412 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	556.984 μs	1	556.984 μs	556.984 μs	556.984 μs	556.984 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	556.743 μs	1	556.743 μs	556.743 μs	556.743 μs	556.743 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[1873]], 'hidden_states': [[1873, 2048]]}
0.0%	555.167 μs	1	555.167 μs	555.167 μs	555.167 μs	555.167 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	554.370 μs	1	554.370 μs	554.370 μs	554.370 μs	554.370 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[512]], 'hidden_states': [[512, 2048]]}
0.0%	553.379 μs	1	553.379 μs	553.379 μs	553.379 μs	553.379 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	553.242 μs	16	34.577 μs	33.402 μs	31.561 μs	43.177 μs	3.256 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[84], [84, 2048], [84, 512]]}
0.0%	552.180 μs	1	552.180 μs	552.180 μs	552.180 μs	552.180 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	552.127 μs	1	552.127 μs	552.127 μs	552.127 μs	552.127 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	551.619 μs	16	34.476 μs	33.176 μs	31.246 μs	45.853 μs	4.451 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[99], [99, 2048], [99, 512]]}
0.0%	550.803 μs	1	550.803 μs	550.803 μs	550.803 μs	550.803 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	548.621 μs	1	548.621 μs	548.621 μs	548.621 μs	548.621 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	547.254 μs	16	34.203 μs	33.412 μs	31.563 μs	40.792 μs	2.706 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[1873], [1873, 2048], [1873, 512]]}
0.0%	547.187 μs	1	547.187 μs	547.187 μs	547.187 μs	547.187 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	546.832 μs	16	34.177 μs	32.490 μs	30.873 μs	44.035 μs	4.338 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[20], [20, 2048], [20, 512]]}
0.0%	546.780 μs	1	546.780 μs	546.780 μs	546.780 μs	546.780 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	546.440 μs	1	546.440 μs	546.440 μs	546.440 μs	546.440 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	545.947 μs	1	545.947 μs	545.947 μs	545.947 μs	545.947 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	545.811 μs	1	545.811 μs	545.811 μs	545.811 μs	545.811 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	545.325 μs	1	545.325 μs	545.325 μs	545.325 μs	545.325 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	545.107 μs	1	545.107 μs	545.107 μs	545.107 μs	545.107 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	544.870 μs	1	544.870 μs	544.870 μs	544.870 μs	544.870 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	544.505 μs	1	544.505 μs	544.505 μs	544.505 μs	544.505 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	543.369 μs	1	543.369 μs	543.369 μs	543.369 μs	543.369 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	541.940 μs	16	33.871 μs	33.165 μs	31.970 μs	42.747 μs	2.574 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[256], [256, 2048], [256, 512]]}
0.0%	541.695 μs	16	33.855 μs	32.211 μs	31.346 μs	43.472 μs	3.967 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[4], [4, 2048], [4, 512]]}
0.0%	541.671 μs	1	541.671 μs	541.671 μs	541.671 μs	541.671 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	541.159 μs	1	541.159 μs	541.159 μs	541.159 μs	541.159 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	540.149 μs	1	540.149 μs	540.149 μs	540.149 μs	540.149 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	538.418 μs	1	538.418 μs	538.418 μs	538.418 μs	538.418 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	537.946 μs	1	537.946 μs	537.946 μs	537.946 μs	537.946 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	537.933 μs	1	537.933 μs	537.933 μs	537.933 μs	537.933 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	537.683 μs	1	537.683 μs	537.683 μs	537.683 μs	537.683 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	537.637 μs	504	1.066 μs	977 ns	832 ns	11.083 μs	774 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	537.438 μs	1	537.438 μs	537.438 μs	537.438 μs	537.438 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	537.212 μs	504	1.065 μs	980 ns	804 ns	22.207 μs	1.083 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	536.161 μs	1	536.161 μs	536.161 μs	536.161 μs	536.161 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	536.133 μs	1	536.133 μs	536.133 μs	536.133 μs	536.133 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	535.375 μs	1	535.375 μs	535.375 μs	535.375 μs	535.375 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	535.321 μs	1	535.321 μs	535.321 μs	535.321 μs	535.321 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	534.802 μs	1	534.802 μs	534.802 μs	534.802 μs	534.802 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	533.377 μs	1	533.377 μs	533.377 μs	533.377 μs	533.377 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	533.188 μs	504	1.057 μs	984 ns	842 ns	16.461 μs	825 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	532.350 μs	1	532.350 μs	532.350 μs	532.350 μs	532.350 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	532.297 μs	1	532.297 μs	532.297 μs	532.297 μs	532.297 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	532.265 μs	504	1.056 μs	1.047 μs	902 ns	1.489 μs	77 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[100, 2048], [100, 2048]]}
0.0%	532.054 μs	504	1.055 μs	982 ns	852 ns	16.519 μs	824 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	531.662 μs	1	531.662 μs	531.662 μs	531.662 μs	531.662 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	531.404 μs	16	33.212 μs	31.860 μs	30.859 μs	52.484 μs	5.242 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[36], [36, 2048], [36, 512]]}
0.0%	530.486 μs	1	530.486 μs	530.486 μs	530.486 μs	530.486 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	530.464 μs	1	530.464 μs	530.464 μs	530.464 μs	530.464 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	530.115 μs	1	530.115 μs	530.115 μs	530.115 μs	530.115 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	529.089 μs	1	529.089 μs	529.089 μs	529.089 μs	529.089 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	529.041 μs	1	529.041 μs	529.041 μs	529.041 μs	529.041 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	528.911 μs	1	528.911 μs	528.911 μs	528.911 μs	528.911 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	528.405 μs	1	528.405 μs	528.405 μs	528.405 μs	528.405 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	528.343 μs	1	528.343 μs	528.343 μs	528.343 μs	528.343 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	527.640 μs	1	527.640 μs	527.640 μs	527.640 μs	527.640 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	527.506 μs	1	527.506 μs	527.506 μs	527.506 μs	527.506 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	527.222 μs	504	1.046 μs	995 ns	843 ns	13.059 μs	618 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	526.662 μs	1	526.662 μs	526.662 μs	526.662 μs	526.662 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp', 'Inputs': [[512, 2048]]}
0.0%	525.416 μs	1	525.416 μs	525.416 μs	525.416 μs	525.416 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	524.897 μs	1	524.897 μs	524.897 μs	524.897 μs	524.897 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	523.929 μs	1	523.929 μs	523.929 μs	523.929 μs	523.929 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	523.777 μs	504	1.039 μs	975 ns	840 ns	11.054 μs	655 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	523.266 μs	1	523.266 μs	523.266 μs	523.266 μs	523.266 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	522.989 μs	1	522.989 μs	522.989 μs	522.989 μs	522.989 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	522.487 μs	504	1.036 μs	982 ns	850 ns	16.486 μs	751 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	522.046 μs	1	522.046 μs	522.046 μs	522.046 μs	522.046 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	521.679 μs	1	521.679 μs	521.679 μs	521.679 μs	521.679 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	521.623 μs	1	521.623 μs	521.623 μs	521.623 μs	521.623 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	521.572 μs	1	521.572 μs	521.572 μs	521.572 μs	521.572 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[84]], 'hidden_states': [[84, 2048]]}
0.0%	520.651 μs	1	520.651 μs	520.651 μs	520.651 μs	520.651 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	520.625 μs	504	1.033 μs	976 ns	803 ns	11.193 μs	628 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	520.391 μs	1	520.391 μs	520.391 μs	520.391 μs	520.391 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	519.984 μs	1	519.984 μs	519.984 μs	519.984 μs	519.984 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	519.819 μs	1	519.819 μs	519.819 μs	519.819 μs	519.819 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	519.663 μs	1	519.663 μs	519.663 μs	519.663 μs	519.663 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	519.162 μs	1	519.162 μs	519.162 μs	519.162 μs	519.162 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'positions': [[68]], 'hidden_states': [[68, 2048]]}
0.0%	516.874 μs	1	516.874 μs	516.874 μs	516.874 μs	516.874 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[52]], 'hidden_states': [[52, 2048]]}
0.0%	516.825 μs	504	1.025 μs	978 ns	839 ns	11.120 μs	579 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	516.774 μs	1	516.774 μs	516.774 μs	516.774 μs	516.774 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	515.987 μs	1	515.987 μs	515.987 μs	515.987 μs	515.987 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	515.881 μs	504	1.023 μs	977 ns	849 ns	16.980 μs	717 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	515.083 μs	504	1.022 μs	941 ns	806 ns	16.561 μs	885 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5', 'Outputs': [[100, 2048], [100, 2048]]}
0.0%	515.077 μs	1	515.077 μs	515.077 μs	515.077 μs	515.077 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	514.968 μs	1	514.968 μs	514.968 μs	514.968 μs	514.968 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	514.165 μs	1	514.165 μs	514.165 μs	514.165 μs	514.165 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	513.679 μs	1	513.679 μs	513.679 μs	513.679 μs	513.679 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	512.968 μs	1	512.968 μs	512.968 μs	512.968 μs	512.968 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[20]], 'hidden_states': [[20, 2048]]}
0.0%	512.806 μs	1	512.806 μs	512.806 μs	512.806 μs	512.806 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	510.550 μs	1	510.550 μs	510.550 μs	510.550 μs	510.550 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	510.270 μs	1	510.270 μs	510.270 μs	510.270 μs	510.270 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[36]], 'hidden_states': [[36, 2048]]}
0.0%	509.793 μs	1	509.793 μs	509.793 μs	509.793 μs	509.793 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[99]], 'hidden_states': [[99, 2048]]}
0.0%	509.703 μs	504	1.011 μs	979 ns	848 ns	8.291 μs	336 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.mlp.act_fn', 'Outputs': [[100, 8192]]}
0.0%	509.317 μs	1	509.317 μs	509.317 μs	509.317 μs	509.317 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn', 'positions': [[4]], 'hidden_states': [[4, 2048]]}
0.0%	508.568 μs	504	1.009 μs	954 ns	797 ns	16.616 μs	744 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8', 'Outputs': [[100, 2048], [100, 2048]]}
