Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.9%	264.757 ms	504	525.310 μs	522.650 μs	485.751 μs	2.105 ms	73.231 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	264.725 ms	504	525.247 μs	523.791 μs	485.291 μs	659.799 μs	23.151 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	264.468 ms	504	524.738 μs	522.155 μs	483.984 μs	1.347 ms	42.406 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	264.075 ms	504	523.958 μs	519.515 μs	484.961 μs	1.268 ms	40.981 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	263.950 ms	504	523.710 μs	520.126 μs	486.359 μs	1.576 ms	54.445 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	263.933 ms	504	523.677 μs	522.662 μs	486.740 μs	611.441 μs	20.536 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	263.912 ms	504	523.634 μs	523.466 μs	487.135 μs	638.265 μs	20.351 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	263.804 ms	504	523.420 μs	521.407 μs	487.132 μs	698.190 μs	22.205 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	263.650 ms	504	523.114 μs	522.328 μs	488.130 μs	596.380 μs	20.009 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	263.107 ms	504	522.037 μs	519.506 μs	485.740 μs	949.367 μs	27.668 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.5%	140.401 ms	504	278.573 μs	277.383 μs	254.724 μs	433.627 μs	15.563 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.mlp', 'Inputs': [[100, 2048]]}
0.5%	138.791 ms	504	275.378 μs	268.034 μs	249.803 μs	2.720 ms	109.987 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.mlp', 'Inputs': [[100, 2048]]}
0.5%	138.556 ms	504	274.913 μs	270.223 μs	250.732 μs	1.132 ms	40.978 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.mlp', 'Inputs': [[100, 2048]]}
0.5%	138.283 ms	504	274.371 μs	271.645 μs	251.341 μs	493.523 μs	17.011 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.mlp', 'Inputs': [[100, 2048]]}
0.5%	137.657 ms	504	273.128 μs	272.770 μs	247.853 μs	329.566 μs	13.706 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.mlp', 'Inputs': [[100, 2048]]}
0.5%	137.622 ms	504	273.060 μs	270.820 μs	250.893 μs	593.182 μs	20.880 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.mlp', 'Inputs': [[100, 2048]]}
